Time1	Abs1	Time2	Abs2
0.000	0.0240	0.000	0.0345
0.017	0.0243	0.017	0.0339
0.033	0.0245	0.033	0.0477
0.050	0.0246	0.050	0.0531
0.067	0.0246	0.067	0.0648
0.083	0.0245	0.083	0.0300
0.100	0.0244	0.100	0.0574
0.117	0.0243	0.117	0.0442
0.133	0.0259	0.133	0.0626
0.150	0.1691	0.150	0.1722
0.167	0.3029	0.167	0.3283
0.183	0.3709	0.183	0.3989
0.200	0.3432	0.200	0.3931
0.217	0.3419	0.217	0.3909
0.233	0.3426	0.233	0.3897
0.250	0.3425	0.250	0.3840
0.267	0.3363	0.267	0.3809
0.283	0.3291	0.283	0.3807
0.300	0.3271	0.300	0.3810
0.317	0.3326	0.317	0.3784
0.333	0.3364	0.333	0.3793
0.350	0.3337	0.350	0.3794
0.367	0.3317	0.367	0.3776
0.383	0.3327	0.383	0.3753
0.400	0.3340	0.400	0.3753
0.417	0.3351	0.417	0.3740
0.433	0.3349	0.433	0.3702
0.450	0.3338	0.450	0.3672
0.467	0.3328	0.467	0.3656
0.483	0.3331	0.483	0.3649
0.500	0.3328	0.500	0.3661
0.517	0.3329	0.517	0.3673
0.533	0.3336	0.533	0.3677
0.550	0.3347	0.550	0.3668
0.567	0.3344	0.567	0.3658
0.583	0.3349	0.583	0.3654
0.600	0.3347	0.600	0.3656
0.617	0.3349	0.617	0.3658
0.633	0.3349	0.633	0.3670
0.650	0.3349	0.650	0.3679
0.667	0.3344	0.667	0.3689
0.683	0.3341	0.683	0.3703
0.700	0.3343	0.700	0.3701
0.717	0.3332	0.717	0.3684
0.733	0.3321	0.733	0.3690
0.750	0.3314	0.750	0.3726
0.767	0.3305	0.767	0.3731
0.783	0.3293	0.783	0.3722
0.800	0.3283	0.800	0.3731
0.817	0.3276	0.817	0.3743
0.833	0.3272	0.833	0.3739
0.850	0.3271	0.850	0.3739
0.867	0.3270	0.867	0.3729
0.883	0.3273	0.883	0.3715
0.900	0.3273	0.900	0.3704
0.917	0.3275	0.917	0.3705
0.933	0.3273	0.933	0.3704
0.950	0.3269	0.950	0.3698
0.967	0.3264	0.967	0.3693
0.983	0.3260	0.983	0.3696
1.000	0.3256	1.000	0.3703
1.017	0.3250	1.017	0.3702
1.033	0.3241	1.033	0.3695
1.050	0.3232	1.050	0.3687
1.067	0.3224	1.067	0.3683
1.083	0.3218	1.083	0.3682
1.100	0.3209	1.100	0.3679
1.117	0.3199	1.117	0.3673
1.133	0.3187	1.133	0.3662
1.150	0.3172	1.150	0.3648
1.167	0.3159	1.167	0.3630
1.183	0.3143	1.183	0.3611
1.200	0.3127	1.200	0.3591
1.217	0.3111	1.217	0.3573
1.233	0.3093	1.233	0.3552
1.250	0.3074	1.250	0.3529
1.267	0.3054	1.267	0.3504
1.283	0.3033	1.283	0.3478
1.300	0.3010	1.300	0.3451
1.317	0.2988	1.317	0.3424
1.333	0.2963	1.333	0.3395
1.350	0.2939	1.350	0.3367
1.367	0.2912	1.367	0.3336
1.383	0.2886	1.383	0.3302
1.400	0.2859	1.400	0.3270
1.417	0.2834	1.417	0.3239
1.433	0.2804	1.433	0.3206
1.450	0.2772	1.450	0.3171
1.467	0.2738	1.467	0.3137
1.483	0.2701	1.483	0.3101
1.500	0.2663	1.500	0.3068
1.517	0.2622	1.517	0.3030
1.533	0.2579	1.533	0.2991
1.550	0.2535	1.550	0.2950
1.567	0.2494	1.567	0.2910
1.583	0.2453	1.583	0.2868
1.600	0.2411	1.600	0.2825
1.617	0.2373	1.617	0.2783
1.633	0.2339	1.633	0.2739
1.650	0.2312	1.650	0.2694
1.667	0.2280	1.667	0.2648
1.683	0.2242	1.683	0.2601
1.700	0.2203	1.700	0.2555
1.717	0.2167	1.717	0.2511
