Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0.000	0.0345	1.73			
0.017	0.0339	1.71			
0.033	0.0477	1.73			
0.050	0.0531	1.71			
0.067	0.0648	1.71			
0.083	0.0300	1.71			
0.100	0.0574	1.71			
0.117	0.0442	1.71			
0.133	0.0626	1.73			
0.150	0.1722	1.71			
0.167	0.3283	1.73			
0.183	0.3989	1.73			
0.200	0.3931	1.71			
0.217	0.3909	1.71			
0.233	0.3897	1.71			
0.250	0.3840	1.73			
0.267	0.3809	1.71			
0.283	0.3807	1.73			
0.300	0.3810	1.73			
0.317	0.3784	1.71			
0.333	0.3793	1.71			
0.350	0.3794	1.73			
0.367	0.3776	1.71			
0.383	0.3753	1.71			
0.400	0.3753	1.71			
0.417	0.3740	1.73			
0.433	0.3702	1.71			
0.450	0.3672	1.71			
0.467	0.3656	1.71			
0.483	0.3649	1.73			
0.500	0.3661	1.73			
0.517	0.3673	1.71			
0.533	0.3677	1.73			
0.550	0.3668	1.71			
0.567	0.3658	1.73			
0.583	0.3654	1.71			
0.600	0.3656	1.73			
0.617	0.3658	1.71			
0.633	0.3670	1.71			
0.650	0.3679	1.71			
0.667	0.3689	1.73			
0.683	0.3703	1.71			
0.700	0.3701	1.71			
0.717	0.3684	1.71			
0.733	0.3690	1.73			
0.750	0.3726	1.73			
0.767	0.3731	1.71			
0.783	0.3722	1.71			
0.800	0.3731	1.71			
0.817	0.3743	1.71			
0.833	0.3739	1.71			
0.850	0.3739	1.71			
0.867	0.3729	1.71			
0.883	0.3715	1.71			
0.900	0.3704	1.71			
0.917	0.3705	1.73			
0.933	0.3704	1.71			
0.950	0.3698	1.71			
0.967	0.3693	1.73			
0.983	0.3696	1.71			
1.000	0.3703	1.73			
1.017	0.3702	1.71			
1.033	0.3695	1.73			
1.050	0.3687	1.71			
1.067	0.3683	1.71			
1.083	0.3682	1.73			
1.100	0.3679	1.71			
1.117	0.3673	1.71			
1.133	0.3662	1.71			
1.150	0.3648	1.71			
1.167	0.3630	1.73			
1.183	0.3611	1.70			
1.200	0.3591	1.71			
1.217	0.3573	1.73			
1.233	0.3552	1.71			
1.250	0.3529	1.73			
1.267	0.3504	1.71			
1.283	0.3478	1.71			
1.300	0.3451	1.73			
1.317	0.3424	1.73			
1.333	0.3395	1.71			
1.350	0.3367	1.73			
1.367	0.3336	1.73			
1.383	0.3302	1.71			
1.400	0.3270	1.71			
1.417	0.3239	1.71			
1.433	0.3206	1.71			
1.450	0.3171	1.71			
1.467	0.3137	1.71			
1.483	0.3101	1.70			
1.500	0.3068	1.71			
1.517	0.3030	1.73			
1.533	0.2991	1.71			
1.550	0.2950	1.73			
1.567	0.2910	1.71			
1.583	0.2868	1.71			
1.600	0.2825	1.71			
1.617	0.2783	1.73			
1.633	0.2739	1.71			
1.650	0.2694	1.71			
1.667	0.2648	1.73			
1.683	0.2601	1.73			
1.700	0.2555	1.71			
1.717	0.2511	1.73			
1.733	0.2466	1.71			
1.750	0.2420	1.71			
1.767	0.2378	1.73			
1.783	0.2333	1.73			
1.800	0.2289	1.71			
1.817	0.2244	1.71			
1.833	0.2203	1.71			
1.850	0.2164	1.73			
1.867	0.2121	1.71			
1.883	0.2078	1.73			
1.900	0.2039	1.71			
1.917	0.1998	1.71			
1.933	0.1958	1.73			
1.950	0.1920	1.71			
1.967	0.1881	1.73			
1.983	0.1840	1.71			
2.000	0.1800	1.73			
2.017	0.1761	1.71			
2.033	0.1725	1.73			
2.050	0.1691	1.71			
2.067	0.1657	1.73			
2.083	0.1619	1.71			
2.100	0.1583	1.73			
2.117	0.1551	1.71			
2.133	0.1522	1.71			
2.150	0.1492	1.73			
2.167	0.1462	1.71			
2.183	0.1431	1.73			
2.200	0.1402	1.71			
2.217	0.1371	1.71			
2.233	0.1342	1.73			
2.250	0.1312	1.73			
2.267	0.1284	1.73			
2.283	0.1254	1.73			
2.300	0.1226	1.71			
2.317	0.1199	1.73			
2.333	0.1172	1.73			
2.350	0.1147	1.71			
2.367	0.1123	1.73			
2.383	0.1099	1.71			
2.400	0.1076	1.71			
2.417	0.1055	1.73			
2.433	0.1033	1.73			
2.450	0.1010	1.73			
2.467	0.0990	1.73			
2.483	0.0970	1.73			
2.500	0.0950	1.73			
2.517	0.0931	1.71			
2.533	0.0915	1.71			
2.550	0.0898	1.71			
2.567	0.0880	1.71			
2.583	0.0861	1.73			
2.600	0.0844	1.71			
2.617	0.0828	1.71			
2.633	0.0814	1.71			
2.650	0.0798	1.71			
2.667	0.0782	1.73			
2.683	0.0767	1.71			
2.700	0.0753	1.71			
2.717	0.0738	1.71			
2.733	0.0724	1.71			
2.750	0.0712	1.71			
2.767	0.0700	1.71			
2.783	0.0687	1.73			
2.800	0.0675	1.73			
2.817	0.0664	1.73			
2.833	0.0653	1.71			
2.850	0.0641	1.73			
2.867	0.0631	1.71			
2.883	0.0621	1.71			
2.900	0.0612	1.71			
2.917	0.0602	1.71			
2.933	0.0593	1.73			
2.950	0.0585	1.71			
2.967	0.0577	1.71			
2.983	0.0569	1.73			
3.000	0.0562	1.73			
3.017	0.0555	1.71			
3.033	0.0550	1.73			
3.050	0.0546	1.73			
3.067	0.0540	1.71			
3.083	0.0535	1.71			
3.100	0.0531	1.71			
3.117	0.0528	1.71			
3.133	0.0525	1.73			
3.150	0.0525	1.71			
3.167	0.0527	1.73			
