Time1	Abs1	Time2	Abs2	Time3	Abs3	Time4	Abs4
0.000	0.0385	0.000	0.0084	0.000	0.0354	0	0.0215
0.017	0.0385	0.017	0.0088	0.017	0.0095	0.017	0.0373
0.033	0.0385	0.033	0.0092	0.033	0.0584	0.033	0.0363
0.050	0.0385	0.050	0.0095	0.050	0.0792	0.05	0.0535
0.067	0.0385	0.067	0.0096	0.067	0.0674	0.067	0.0517
0.083	0.0421	0.083	0.0097	0.083	0.0860	0.083	0.0426
0.100	0.1038	0.100	0.0098	0.100	0.0279	0.1	0.0215
0.117	0.2081	0.117	0.0549	0.117	0.1261	0.117	0.0323
0.133	0.2794	0.133	0.1974	0.133	0.2693	0.133	0.0386
0.150	0.3130	0.150	0.2933	0.150	0.3576	0.15	0.1478
0.167	0.3103	0.167	0.2381	0.167	0.3601	0.167	0.2389
0.183	0.3113	0.183	0.2335	0.183	0.3560	0.183	0.2719
0.200	0.3137	0.200	0.2310	0.200	0.3529	0.2	0.2622
0.217	0.3231	0.217	0.2281	0.217	0.3509	0.217	0.2604
0.233	0.3229	0.233	0.2235	0.233	0.3438	0.233	0.2583
0.250	0.3269	0.250	0.2200	0.250	0.3360	0.25	0.2558
0.267	0.3336	0.267	0.2190	0.267	0.3301	0.267	0.2559
0.283	0.3374	0.283	0.2170	0.283	0.3236	0.283	0.2571
0.300	0.3397	0.300	0.2161	0.300	0.3196	0.3	0.2549
0.317	0.3407	0.317	0.2131	0.317	0.3174	0.317	0.2513
0.333	0.3426	0.333	0.2103	0.333	0.3153	0.333	0.2498
0.350	0.3440	0.350	0.2100	0.350	0.3148	0.35	0.2494
0.367	0.3448	0.367	0.2129	0.367	0.3157	0.367	0.2483
0.383	0.3467	0.383	0.2157	0.383	0.3162	0.383	0.246
0.400	0.3489	0.400	0.2165	0.400	0.3156	0.4	0.244
0.417	0.3496	0.417	0.2163	0.417	0.3160	0.417	0.2447
0.433	0.3496	0.433	0.2161	0.433	0.3173	0.433	0.2454
0.450	0.3509	0.450	0.2155	0.450	0.3175	0.45	0.2448
0.467	0.3513	0.467	0.2151	0.467	0.3168	0.467	0.2439
0.483	0.3517	0.483	0.2151	0.483	0.3159	0.483	0.2434
0.500	0.3539	0.500	0.2151	0.500	0.3154	0.5	0.2434
0.517	0.3547	0.517	0.2151	0.517	0.3157	0.517	0.2431
0.533	0.3542	0.533	0.2147	0.533	0.3161	0.533	0.2429
0.550	0.3543	0.550	0.2147	0.550	0.3158	0.55	0.2426
0.567	0.3543	0.567	0.2145	0.567	0.3141	0.567	0.2421
0.583	0.3541	0.583	0.2134	0.583	0.3134	0.583	0.2423
0.600	0.3537	0.600	0.2131	0.600	0.3143	0.6	0.2427
0.617	0.3531	0.617	0.2128	0.617	0.3157	0.617	0.2423
0.633	0.3524	0.633	0.2129	0.633	0.3163	0.633	0.2414
0.650	0.3515	0.650	0.2127	0.650	0.3165	0.65	0.2415
0.667	0.3504	0.667	0.2122	0.667	0.3165	0.667	0.2415
0.683	0.3492	0.683	0.2109	0.683	0.3172	0.683	0.2415
0.700	0.3479	0.700	0.2098	0.700	0.3185	0.7	0.2419
0.717	0.3465	0.717	0.2095	0.717	0.3205	0.717	0.2424
0.733	0.3451	0.733	0.2090	0.733	0.3224	0.733	0.2425
