Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0.000	0.0215	1.71			
0.017	0.0373	1.71			
0.033	0.0363	1.73			
0.050	0.0535	1.71			
0.067	0.0517	1.71			
0.083	0.0426	1.71			
0.100	0.0215	1.71			
0.117	0.0323	1.71			
0.133	0.0386	1.71			
0.150	0.1478	1.71			
0.167	0.2389	1.71			
0.183	0.2719	1.73			
0.200	0.2622	1.71			
0.217	0.2604	1.71			
0.233	0.2583	1.71			
0.250	0.2558	1.71			
0.267	0.2559	1.71			
0.283	0.2571	1.73			
0.300	0.2549	1.71			
0.317	0.2513	1.71			
0.333	0.2498	1.71			
0.350	0.2494	1.71			
0.367	0.2483	1.71			
0.383	0.2460	1.71			
0.400	0.2440	1.71			
0.417	0.2447	1.71			
0.433	0.2454	1.71			
0.450	0.2448	1.71			
0.467	0.2439	1.71			
0.483	0.2434	1.71			
0.500	0.2434	1.71			
0.517	0.2431	1.71			
0.533	0.2429	1.71			
0.550	0.2426	1.73			
0.567	0.2421	1.71			
0.583	0.2423	1.71			
0.600	0.2427	1.71			
0.617	0.2423	1.71			
0.633	0.2414	1.71			
0.650	0.2415	1.71			
0.667	0.2415	1.71			
0.683	0.2415	1.71			
0.700	0.2419	1.71			
0.717	0.2424	1.71			
0.733	0.2425	1.71			
0.750	0.2426	1.71			
0.767	0.2431	1.71			
0.783	0.2446	1.71			
0.800	0.2453	1.71			
0.817	0.2451	1.71			
0.833	0.2454	1.71			
0.850	0.2457	1.73			
0.867	0.2458	1.69			
0.883	0.2463	1.73			
0.900	0.2465	1.71			
0.917	0.2462	1.71			
0.933	0.2461	1.71			
0.950	0.2466	1.71			
0.967	0.2471	1.71			
0.983	0.2475	1.71			
1.000	0.2480	1.69			
1.017	0.2488	1.73			
1.033	0.2488	1.71			
1.050	0.2489	1.73			
1.067	0.2494	1.71			
1.083	0.2496	1.73			
1.100	0.2493	1.71			
1.117	0.2496	1.71			
1.133	0.2502	1.71			
1.150	0.2509	1.71			
1.167	0.2510	1.71			
1.183	0.2511	1.71			
1.200	0.2518	1.71			
1.217	0.2523	1.71			
1.233	0.2525	1.71			
1.250	0.2530	1.71			
1.267	0.2538	1.73			
1.283	0.2548	1.71			
1.300	0.2560	1.73			
1.317	0.2568	1.71			
1.333	0.2565	1.73			
1.350	0.2561	1.71			
1.367	0.2565	1.69			
1.383	0.2575	1.73			
1.400	0.2581	1.71			
1.417	0.2586	1.71			
1.433	0.2587	1.73			
1.450	0.2588	1.73			
1.467	0.2590	1.71			
1.483	0.2594	1.71			
1.500	0.2601	1.71			
1.517	0.2603	1.71			
1.533	0.2604	1.73			
1.550	0.2606	1.71			
1.567	0.2606	1.71			
1.583	0.2607	1.71			
1.600	0.2610	1.71			
1.617	0.2612	1.71			
1.633	0.2614	1.71			
1.650	0.2614	1.71			
1.667	0.2612	1.73			
1.683	0.2610	1.71			
1.700	0.2610	1.71			
1.717	0.2613	1.73			
1.733	0.2619	1.71			
1.750	0.2620	1.71			
1.767	0.2619	1.71			
1.783	0.2617	1.71			
1.800	0.2616	1.71			
1.817	0.2616	1.71			
1.833	0.2618	1.73			
1.850	0.2619	1.71			
1.867	0.2619	1.73			
1.883	0.2617	1.71			
1.900	0.2614	1.73			
1.917	0.2612	1.71			
1.933	0.2610	1.71			
1.950	0.2608	1.71			
1.967	0.2608	1.71			
1.983	0.2607	1.71			
2.000	0.2607	1.71			
2.017	0.2607	1.71			
2.033	0.2607	1.71			
2.050	0.2607	1.71			
2.067	0.2606	1.73			
2.083	0.2605	1.71			
2.100	0.2605	1.71			
2.117	0.2606	1.71			
2.133	0.2606	1.71			
2.150	0.2607	1.71			
2.167	0.2607	1.71			
2.183	0.2607	1.71			
2.200	0.2607	1.73			
2.217	0.2608	1.69			
2.233	0.2608	1.73			
2.250	0.2608	1.71			
2.267	0.2608	1.73			
2.283	0.2607	1.71			
2.300	0.2607	1.73			
2.317	0.2606	1.71			
2.333	0.2605	1.71			
2.350	0.2603	1.73			
2.367	0.2600	1.71			
2.383	0.2598	1.73			
2.400	0.2595	1.71			
2.417	0.2593	1.73			
2.433	0.2591	1.71			
2.450	0.2590	1.73			
2.467	0.2588	1.73			
2.483	0.2585	1.71			
2.500	0.2585	1.71			
2.517	0.2584	1.71			
2.533	0.2583	1.71			
2.550	0.2579	1.73			
2.567	0.2578	1.70			
2.583	0.2576	1.73			
2.600	0.2574	1.71			
2.617	0.2572	1.71			
2.633	0.2571	1.71			
2.650	0.2570	1.71			
2.667	0.2568	1.73			
2.683	0.2566	1.71			
2.700	0.2564	1.71			
2.717	0.2563	1.71			
2.733	0.2561	1.73			
2.750	0.2559	1.73			
2.767	0.2557	1.71			
2.783	0.2556	1.73			
2.800	0.2554	1.71			
2.817	0.2553	1.71			
2.833	0.2551	1.73			
