Time1	Abs1	Time2	Abs2
0.000	0.0431	0.000	0.0417
0.017	0.0433	0.017	0.0417
0.033	0.0435	0.033	0.0417
0.050	0.0438	0.050	0.0417
0.067	0.0440	0.067	0.0417
0.083	0.0442	0.083	0.0417
0.100	0.0444	0.100	0.0417
0.117	0.0445	0.117	0.0417
0.133	0.0447	0.133	0.0419
0.150	0.0727	0.150	0.1552
0.167	0.1618	0.167	0.2936
0.183	0.2422	0.183	0.3433
0.200	0.2390	0.200	0.3306
0.217	0.2388	0.217	0.3276
0.233	0.2380	0.233	0.3258
0.250	0.2388	0.250	0.3235
0.267	0.2409	0.267	0.3214
0.283	0.2414	0.283	0.3199
0.300	0.2398	0.300	0.3186
0.317	0.2292	0.317	0.3168
0.333	0.2180	0.333	0.3145
0.350	0.2155	0.350	0.3139
0.367	0.2163	0.367	0.3131
0.383	0.2169	0.383	0.3124
0.400	0.2165	0.400	0.3145
0.417	0.2165	0.417	0.3201
0.433	0.2175	0.433	0.3232
0.450	0.2182	0.450	0.3220
0.467	0.2197	0.467	0.3106
0.483	0.2211	0.483	0.3019
0.500	0.2223	0.500	0.2981
0.517	0.2234	0.517	0.2980
0.533	0.2243	0.533	0.3003
0.550	0.2247	0.550	0.3023
0.567	0.2252	0.567	0.3018
0.583	0.2255	0.583	0.3020
0.600	0.2257	0.600	0.3020
0.617	0.2265	0.617	0.3016
0.633	0.2278	0.633	0.3022
0.650	0.2285	0.650	0.3035
0.667	0.2286	0.667	0.3032
0.683	0.2287	0.683	0.3027
0.700	0.2295	0.700	0.3035
0.717	0.2292	0.717	0.3037
0.733	0.2287	0.733	0.3035
0.750	0.2294	0.750	0.3041
0.767	0.2300	0.767	0.3040
0.783	0.2302	0.783	0.3033
0.800	0.2297	0.800	0.3033
0.817	0.2289	0.817	0.3046
0.833	0.2281	0.833	0.3057
0.850	0.2279	0.850	0.3049
0.867	0.2275	0.867	0.3044
0.883	0.2262	0.883	0.3047
0.900	0.2245	0.900	0.3049
0.917	0.2232	0.917	0.3042
0.933	0.2223	0.933	0.3043
0.950	0.2222	0.950	0.3042
0.967	0.2219	0.967	0.3039
0.983	0.2207	0.983	0.3043
1.000	0.2192	1.000	0.3054
1.017	0.2178	1.017	0.3060
1.033	0.2169	1.033	0.3061
1.050	0.2163	1.050	0.3067
1.067	0.2155	1.067	0.3069
1.083	0.2143	1.083	0.3067
1.100	0.2130	1.100	0.3063
1.117	0.2114	1.117	0.3058
1.133	0.2093	1.133	0.3055
1.150	0.2068	1.150	0.3051
1.167	0.2040	1.167	0.3046
1.183	0.2008	1.183	0.3044
1.200	0.1978	1.200	0.3045
1.217	0.1952	1.217	0.3042
1.233	0.1924	1.233	0.3036
1.250	0.1899	1.250	0.3031
1.267	0.1872	1.267	0.3027
1.283	0.1847	1.283	0.3025
1.300	0.1818	1.300	0.3020
1.317	0.1791	1.317	0.3016
1.333	0.1764	1.333	0.3014
1.350	0.1738	1.350	0.3005
1.367	0.1708	1.367	0.2991
1.383	0.1679	1.383	0.2980
1.400	0.1651	1.400	0.2960
1.417	0.1619	1.417	0.2929
1.433	0.1588	1.433	0.2901
1.450	0.1556	1.450	0.2875
1.467	0.1526	1.467	0.2853
1.483	0.1492	1.483	0.2835
1.500	0.1461	1.500	0.2812
1.517	0.1430	1.517	0.2786
1.533	0.1402	1.533	0.2769
1.550	0.1372	1.550	0.2749
1.567	0.1342	1.567	0.2721
1.583	0.1312	1.583	0.2701
1.600	0.1284	1.600	0.2682
1.617	0.1256	1.617	0.2660
1.633	0.1228	1.633	0.2638
1.650	0.1197	1.650	0.2613
1.667	0.1163	1.667	0.2587
1.683	0.1132	1.683	0.2567
1.700	0.1098	1.700	0.2548
1.717	0.1069	1.717	0.2523
1.733	0.1042	1.733	0.2503
1.750	0.1015	1.750	0.2481
1.767	0.0988	1.767	0.2453
1.783	0.0963	1.783	0.2431
1.800	0.0941	1.800	0.2405
1.817	0.0918	1.817	0.2379
1.833	0.0897	1.833	0.2355
1.850	0.0875	1.850	0.2329
1.867	0.0855	1.867	0.2305
1.883	0.0835	1.883	0.2284
1.900	0.0818	1.900	0.2256
1.917	0.0800	1.917	0.2226
1.933	0.0782	1.933	0.2202
1.950	0.0763	1.950	0.2175
1.967	0.0750	1.967	0.2145
1.983	0.0735	1.983	0.2118
2.000	0.0719	2.000	0.2090
2.017	0.0702	2.017	0.2057
2.033	0.0688	2.033	0.2032
2.050	0.0675	2.050	0.2004
2.067	0.0663	2.067	0.1974
2.083	0.0652	2.083	0.1949
2.100	0.0640	2.100	0.1922
2.117	0.0628	2.117	0.1888
2.133	0.0618	2.133	0.1862
2.150	0.0611	2.150	0.1833
2.167	0.0603	2.167	0.1801
2.183	0.0595	2.183	0.1776
2.200	0.0588	2.200	0.1749
2.217	0.0581	2.217	0.1714
2.233	0.0575	2.233	0.1685
2.250	0.0569	2.250	0.1656
2.267	0.0564	2.267	0.1624
2.283	0.0561	2.283	0.1597
2.300	0.0559	2.300	0.1571
2.317	0.0558	2.317	0.1541
2.333	0.0556	2.333	0.1516
2.350	0.0557	2.350	0.1487
2.367	0.0559	2.367	0.1457
2.383	0.0561	2.383	0.1432
2.400	0.0564	2.400	0.1409
2.417	0.0567	2.417	0.1381
2.433	0.0571	2.433	0.1357
2.450	0.0576	2.450	0.1330
2.467	0.0581	2.467	0.1304
2.483	0.0586	2.483	0.1281
2.500	0.0592	2.500	0.1257
2.517	0.0597	2.517	0.1230
2.533	0.0603	2.533	0.1209
2.550	0.0608	2.550	0.1187
2.567	0.0613	2.567	0.1162
2.583	0.0618	2.583	0.1143
2.600	0.0621	2.600	0.1121
2.617	0.0623	2.617	0.1099
2.633	0.0626	2.633	0.1081
2.650	0.0628	2.650	0.1060
2.667	0.0630	2.667	0.1038
2.683	0.0632	2.683	0.1021
2.700	0.0633	2.700	0.1003
2.717	0.0634	2.717	0.0984
2.733	0.0634	2.733	0.0968
2.750	0.0634	2.750	0.0950
2.767	0.0633	2.767	0.0932
2.783	0.0632	2.783	0.0919
2.800	0.0631	2.800	0.0907
2.817	0.0629	2.817	0.0891
2.833	0.0627	2.833	0.0879
2.850	0.0625	2.850	0.0866
2.867	0.0623	2.867	0.0854
2.883	0.0620	2.883	0.0847
2.900	0.0616	2.900	0.0838
2.917	0.0613	2.917	0.0832
2.933	0.0609	2.933	0.0826
2.950	0.0606	2.950	0.0819
2.967	0.0602	2.967	0.0808
2.983	0.0598	2.983	0.0804
3.000	0.0594	3.000	0.0800
3.017	0.0589	3.017	0.0794
3.033	0.0585	3.033	0.0789
3.050	0.0581	3.050	0.0786
3.067	0.0576	3.067	0.0783
3.083	0.0571	3.083	0.0782
3.100	0.0568	3.100	0.0781
