Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0.000	0.0431	1.77			
0.017	0.0433	1.77			
0.033	0.0435	1.79			
0.050	0.0438	1.79			
0.067	0.0440	1.79			
0.083	0.0442	1.77			
0.100	0.0444	1.77			
0.117	0.0445	1.77			
0.133	0.0447	1.77			
0.150	0.0727	1.77			
0.167	0.1618	1.77			
0.183	0.2422	1.79			
0.200	0.2390	1.77			
0.217	0.2388	1.79			
0.233	0.2380	1.79			
0.250	0.2388	1.79			
0.267	0.2409	1.77			
0.283	0.2414	1.77			
0.300	0.2398	1.79			
0.317	0.2292	1.77			
0.333	0.2180	1.77			
0.350	0.2155	1.79			
0.367	0.2163	1.79			
0.383	0.2169	1.79			
0.400	0.2165	1.77			
0.417	0.2165	1.77			
0.433	0.2175	1.79			
0.450	0.2182	1.77			
0.467	0.2197	1.75			
0.483	0.2211	1.79			
0.500	0.2223	1.77			
0.517	0.2234	1.79			
0.533	0.2243	1.77			
0.550	0.2247	1.79			
0.567	0.2252	1.79			
0.583	0.2255	1.77			
0.600	0.2257	1.79			
0.617	0.2265	1.77			
0.633	0.2278	1.79			
0.650	0.2285	1.77			
0.667	0.2286	1.79			
0.683	0.2287	1.77			
0.700	0.2295	1.79			
0.717	0.2292	1.77			
0.733	0.2287	1.79			
0.750	0.2294	1.77			
0.767	0.2300	1.77			
0.783	0.2302	1.77			
0.800	0.2297	1.77			
0.817	0.2289	1.79			
0.833	0.2281	1.77			
0.850	0.2279	1.79			
0.867	0.2275	1.75			
0.883	0.2262	1.77			
0.900	0.2245	1.77			
0.917	0.2232	1.77			
0.933	0.2223	1.77			
0.950	0.2222	1.77			
0.967	0.2219	1.79			
0.983	0.2207	1.77			
1.000	0.2192	1.77			
1.017	0.2178	1.79			
1.033	0.2169	1.77			
1.050	0.2163	1.77			
1.067	0.2155	1.77			
1.083	0.2143	1.77			
1.100	0.2130	1.79			
1.117	0.2114	1.77			
1.133	0.2093	1.79			
1.150	0.2068	1.77			
1.167	0.2040	1.77			
1.183	0.2008	1.79			
1.200	0.1978	1.77			
1.217	0.1952	1.77			
1.233	0.1924	1.77			
1.250	0.1899	1.79			
1.267	0.1872	1.77			
1.283	0.1847	1.79			
1.300	0.1818	1.79			
1.317	0.1791	1.79			
1.333	0.1764	1.77			
1.350	0.1738	1.79			
1.367	0.1708	1.79			
1.383	0.1679	1.79			
1.400	0.1651	1.77			
1.417	0.1619	1.77			
1.433	0.1588	1.77			
1.450	0.1556	1.77			
1.467	0.1526	1.77			
1.483	0.1492	1.79			
1.500	0.1461	1.79			
1.517	0.1430	1.77			
1.533	0.1402	1.79			
1.550	0.1372	1.77			
1.567	0.1342	1.77			
1.583	0.1312	1.79			
1.600	0.1284	1.77			
1.617	0.1256	1.79			
1.633	0.1228	1.79			
1.650	0.1197	1.77			
1.667	0.1163	1.77			
1.683	0.1132	1.77			
1.700	0.1098	1.77			
1.717	0.1069	1.77			
1.733	0.1042	1.77			
1.750	0.1015	1.77			
1.767	0.0988	1.79			
1.783	0.0963	1.77			
1.800	0.0941	1.79			
1.817	0.0918	1.79			
1.833	0.0897	1.77			
1.850	0.0875	1.79			
1.867	0.0855	1.77			
1.883	0.0835	1.77			
1.900	0.0818	1.79			
1.917	0.0800	1.77			
1.933	0.0782	1.77			
1.950	0.0763	1.77			
1.967	0.0750	1.77			
1.983	0.0735	1.77			
2.000	0.0719	1.77			
2.017	0.0702	1.77			
2.033	0.0688	1.77			
2.050	0.0675	1.77			
2.067	0.0663	1.77			
2.083	0.0652	1.77			
2.100	0.0640	1.77			
2.117	0.0628	1.77			
2.133	0.0618	1.77			
2.150	0.0611	1.77			
2.167	0.0603	1.79			
2.183	0.0595	1.77			
2.200	0.0588	1.77			
2.217	0.0581	1.77			
2.233	0.0575	1.77			
2.250	0.0569	1.79			
2.267	0.0564	1.77			
2.283	0.0561	1.77			
2.300	0.0559	1.79			
