Time1	Abs1	Time2	Abs2	Time3	Abs3
0.000	0.0433	0.000	0.0598	0.000	0.0924
0.017	0.0433	0.017	0.0598	0.017	0.0924
0.033	0.0433	0.033	0.0598	0.033	0.0924
0.050	0.0432	0.050	0.0598	0.050	0.0924
0.067	0.0432	0.067	0.0598	0.067	0.0923
0.083	0.0432	0.083	0.0598	0.083	0.0923
0.100	0.0431	0.100	0.0598	0.100	0.0923
0.117	0.0431	0.117	0.0598	0.117	0.0923
0.133	0.1019	0.133	0.1188	0.133	0.1557
0.150	0.2280	0.150	0.2311	0.150	0.2407
0.167	0.3435	0.167	0.3036	0.167	0.3189
0.183	0.3302	0.183	0.2997	0.183	0.3200
0.200	0.3210	0.200	0.2992	0.200	0.3225
0.217	0.3169	0.217	0.3010	0.217	0.3251
0.233	0.3190	0.233	0.2990	0.233	0.3260
0.250	0.3300	0.250	0.2936	0.250	0.3251
0.267	0.3447	0.267	0.2886	0.267	0.3203
0.283	0.3548	0.283	0.2792	0.283	0.3151
0.300	0.3567	0.300	0.2724	0.300	0.3111
0.317	0.3559	0.317	0.2708	0.317	0.3076
0.333	0.3549	0.333	0.2650	0.333	0.3017
0.350	0.3557	0.350	0.2667	0.350	0.2987
0.367	0.3566	0.367	0.2730	0.367	0.2972
0.383	0.3569	0.383	0.2717	0.383	0.2980
0.400	0.3566	0.400	0.2672	0.400	0.2957
0.417	0.3570	0.417	0.2608	0.417	0.2946
0.433	0.3581	0.433	0.2567	0.433	0.2849
0.450	0.3593	0.450	0.2607	0.450	0.2770
0.467	0.3606	0.467	0.2614	0.467	0.2807
0.483	0.3620	0.483	0.2560	0.483	0.2872
0.500	0.3623	0.500	0.2526	0.500	0.2892
0.517	0.3619	0.517	0.2533	0.517	0.2897
0.533	0.3623	0.533	0.2513	0.533	0.2892
0.550	0.3638	0.550	0.2490	0.550	0.2857
0.567	0.3654	0.567	0.2478	0.567	0.2806
0.583	0.3664	0.583	0.2449	0.583	0.2775
0.600	0.3671	0.600	0.2418	0.600	0.2767
0.617	0.3677	0.617	0.2406	0.617	0.2762
0.633	0.3681	0.633	0.2404	0.633	0.2747
0.650	0.3680	0.650	0.2381	0.650	0.2723
0.667	0.3674	0.667	0.2352	0.667	0.2681
0.683	0.3667	0.683	0.2304	0.683	0.2636
0.700	0.3660	0.700	0.2252	0.700	0.2601
0.717	0.3653	0.717	0.2215	0.717	0.2569
0.733	0.3646	0.733	0.2194	0.733	0.2542
0.750	0.3638	0.750	0.2157	0.750	0.2515
0.767	0.3630	0.767	0.2131	0.767	0.2478
0.783	0.3618	0.783	0.2109	0.783	0.2449
0.800	0.3602	0.800	0.2091	0.800	0.2429
0.817	0.3584	0.817	0.2078	0.817	0.2402
0.833	0.3565	0.833	0.2069	0.833	0.2375
0.850	0.3545	0.850	0.2053	0.850	0.2358
0.867	0.3521	0.867	0.2026	0.867	0.2339
0.883	0.3494	0.883	0.1992	0.883	0.2323
0.900	0.3463	0.900	0.1964	0.900	0.2309
0.917	0.3432	0.917	0.1942	0.917	0.2284
0.933	0.3399	0.933	0.1907	0.933	0.2260
0.950	0.3364	0.950	0.1863	0.950	0.2236
0.967	0.3320	0.967	0.1835	0.967	0.2207
0.983	0.3270	0.983	0.1810	0.983	0.2182
1.000	0.3216	1.000	0.1779	1.000	0.2168
1.017	0.3155	1.017	0.1751	1.017	0.2161
1.033	0.3089	1.033	0.1724	1.033	0.2149
1.050	0.3019	1.050	0.1701	1.050	0.2123
1.067	0.2954	1.067	0.1681	1.067	0.2089
1.083	0.2887	1.083	0.1648	1.083	0.2058
