Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0.000	0.0516	1.76			
0.017	0.0516	1.76			
0.033	0.0515	1.76			
0.050	0.0515	1.76			
0.067	0.0515	1.76			
0.083	0.0515	1.76			
0.100	0.0515	1.76			
0.117	0.0517	1.78			
0.133	0.1358	1.76			
0.150	0.2737	1.78			
0.167	0.3819	1.78			
0.183	0.3786	1.78			
0.200	0.3761	1.76			
0.217	0.3771	1.76			
0.233	0.3755	1.78			
0.250	0.3724	1.76			
0.267	0.3719	1.78			
0.283	0.3813	1.78			
0.300	0.3829	1.76			
0.317	0.3769	1.78			
0.333	0.3746	1.76			
0.350	0.3751	1.78			
0.367	0.3775	1.78			
0.383	0.3776	1.76			
0.400	0.3773	1.76			
0.417	0.3796	1.76			
0.433	0.3823	1.78			
0.450	0.3848	1.78			
0.467	0.3849	1.78			
0.483	0.3836	1.76			
0.500	0.3824	1.76			
0.517	0.3831	1.76			
0.533	0.3838	1.76			
0.550	0.3858	1.76			
0.567	0.3882	1.78			
0.583	0.3908	1.76			
0.600	0.3939	1.78			
0.617	0.3953	1.78			
0.633	0.3942	1.76			
0.650	0.3949	1.76			
0.667	0.3971	1.76			
0.683	0.3984	1.76			
0.700	0.3990	1.76			
0.717	0.3997	1.78			
0.733	0.4014	1.76			
0.750	0.4022	1.78			
0.767	0.4027	1.78			
0.783	0.4047	1.76			
0.800	0.4081	1.78			
0.817	0.4117	1.76			
0.833	0.4135	1.78			
0.850	0.4149	1.78			
0.867	0.4163	1.76			
0.883	0.4176	1.78			
0.900	0.4185	1.76			
0.917	0.4203	1.78			
0.933	0.4213	1.78			
0.950	0.4217	1.76			
0.967	0.4219	1.76			
0.983	0.4230	1.78			
1.000	0.4235	1.78			
1.017	0.4237	1.76			
1.033	0.4237	1.78			
1.050	0.4239	1.78			
1.067	0.4243	1.78			
1.083	0.4245	1.76			
1.100	0.4232	1.78			
1.117	0.4222	1.78			
1.133	0.4213	1.78			
1.150	0.4207	1.76			
1.167	0.4191	1.76			
1.183	0.4183	1.78			
1.200	0.4176	1.78			
1.217	0.4162	1.78			
1.233	0.4139	1.78			
1.250	0.4120	1.78			
1.267	0.4103	1.78			
1.283	0.4091	1.78			
1.300	0.4073	1.76			
1.317	0.4042	1.78			
1.333	0.4014	1.78			
1.350	0.3993	1.78			
1.367	0.3974	1.76			
1.383	0.3948	1.78			
1.400	0.3918	1.76			
1.417	0.3891	1.76			
1.433	0.3864	1.78			
1.450	0.3835	1.76			
1.467	0.3801	1.78			
1.483	0.3768	1.78			
1.500	0.3732	1.76			
1.517	0.3704	1.76			
1.533	0.3671	1.76			
1.550	0.3630	1.78			
1.567	0.3595	1.78			
1.583	0.3570	1.76			
1.600	0.3539	1.78			
1.617	0.3508	1.78			
1.633	0.3468	1.76			
1.650	0.3426	1.76			
1.667	0.3373	1.76			
1.683	0.3332	1.76			
1.700	0.3298	1.76			
1.717	0.3265	1.78			
1.733	0.3217	1.76			
1.750	0.3167	1.78			
1.767	0.3128	1.78			
1.783	0.3106	1.76			
1.800	0.3077	1.78			
1.817	0.3038	1.78			
1.833	0.2994	1.78			
1.850	0.2940	1.76			
1.867	0.2920	1.78			
1.883	0.2917	1.76			
1.900	0.2890	1.78			
1.917	0.2848	1.78			
1.933	0.2812	1.78			
1.950	0.2736	1.78			
1.967	0.2640	1.76			
1.983	0.2586	1.76			
2.000	0.2554	1.76			
2.017	0.2515	1.78			
2.033	0.2471	1.76			
2.050	0.2439	1.78			
2.067	0.2392	1.78			
2.083	0.2356	1.76			
2.100	0.2309	1.78			
2.117	0.2280	1.76			
2.133	0.2230	1.78			
2.150	0.2178	1.76			
2.167	0.2125	1.78			
2.183	0.2084	1.78			
2.200	0.2043	1.76			
2.217	0.2014	1.78			
2.233	0.1980	1.78			
2.250	0.1938	1.76			
2.267	0.1895	1.78			
2.283	0.1868	1.78			
2.300	0.1826	1.76			
2.317	0.1784	1.78			
2.333	0.1752	1.78			
2.350	0.1710	1.76			
2.367	0.1668	1.78			
2.383	0.1634	1.78			
2.400	0.1604	1.78			
2.417	0.1570	1.76			
2.433	0.1541	1.76			
2.450	0.1513	1.78			
2.467	0.1480	1.78			
2.483	0.1446	1.78			
2.500	0.1426	1.78			
2.517	0.1406	1.76			
2.533	0.1386	1.78			
2.550	0.1360	1.78			
2.567	0.1341	1.78			
2.583	0.1318	1.78			
2.600	0.1284	1.78			
2.617	0.1255	1.78			
2.633	0.1231	1.78			
2.650	0.1208	1.78			
2.667	0.1191	1.78			
2.683	0.1172	1.76			
2.700	0.1148	1.76			
2.717	0.1130	1.78			
2.733	0.1122	1.76			
2.750	0.1108	1.78			
2.767	0.1071	1.76			
2.783	0.1040	1.76			
2.800	0.1020	1.80			
2.817	0.1006	1.78			
2.833	0.0986	1.76			
2.850	0.0979	1.78			
2.867	0.0969	1.78			
2.883	0.0953	1.76			
2.900	0.0926	1.78			
2.917	0.0902	1.78			
2.933	0.0885	1.76			
2.950	0.0873	1.78			
2.967	0.0858	1.78			
2.983	0.0843	1.78			
3.000	0.0830	1.78			
3.017	0.0819	1.78			
3.033	0.0808	1.78			
3.050	0.0800	1.78			
3.067	0.0789	1.76			
3.083	0.0782	1.76			
3.100	0.0770	1.76			
3.117	0.0759	1.78			
3.133	0.0750	1.78			
3.150	0.0743	1.76			
3.167	0.0736	1.78			
3.183	0.0731	1.76			
3.200	0.0725	1.78			
3.217	0.0720	1.78			
3.233	0.0714	1.76			
3.250	0.0710	1.76			
3.267	0.0708	1.78			
3.283	0.0706	1.76			
3.300	0.0705	1.78			
3.317	0.0704	1.78			
3.333	0.0702	1.76			
3.350	0.0700	1.78			
3.367	0.0701	1.76			
3.383	0.0702	1.76			
3.400	0.0704	1.78			
3.417	0.0707	1.76			
3.433	0.0711	1.78			
3.450	0.0715	1.78			
3.467	0.0721	1.76			
3.483	0.0727	1.76			
3.500	0.0732	1.78			
3.517	0.0737	1.78			
3.533	0.0743	1.78			
3.550	0.0749	1.76			
3.567	0.0755	1.78			
3.583	0.0761	1.78			
3.600	0.0768	1.76			
3.617	0.0775	1.80			
3.633	0.0782	1.78			
3.650	0.0789	1.78			
3.667	0.0795	1.78			
3.683	0.0803	1.76			
3.700	0.0809	1.80			
3.717	0.0815	1.76			
3.733	0.0822	1.76			
3.750	0.0828	1.78			
3.767	0.0834	1.78			
3.783	0.0838	1.78			
3.800	0.0841	1.78			
3.817	0.0845	1.78			
3.833	0.0852	1.78			
3.850	0.0855	1.78			
3.867	0.0855	1.78			
3.883	0.0857	1.76			
3.900	0.0859	1.78			
3.917	0.0860	1.78			
3.933	0.0863	1.78			
3.950	0.0864	1.78			
3.967	0.0863	1.76			
3.983	0.0863	1.78			
4.000	0.0861	1.76			
4.017	0.0860	1.76			
4.033	0.0857	1.78			
4.050	0.0855	1.78			
4.067	0.0850	1.76			
4.083	0.0844	1.80			
4.100	0.0839	1.76			
4.117	0.0833	1.78			
4.133	0.0827	1.78			
4.150	0.0821	1.76			
4.167	0.0816	1.76			
4.183	0.0811	1.78			
4.200	0.0807	1.78			
4.217	0.0802	1.78			
4.233	0.0798	1.78			
4.250	0.0793	1.76			
4.267	0.0791	1.78			
4.283	0.0788	1.76			
4.300	0.0786	1.76			
4.317	0.0785	1.76			
4.333	0.0787	1.76			
4.350	0.0790	1.78			
4.367	0.0796	1.76			
4.383	0.0803	1.76			
4.400	0.0814	1.78			
4.417	0.0827	1.78			
4.433	0.0843	1.78			
4.450	0.0860	1.78			
4.467	0.0880	1.76			
4.483	0.0901	1.78			
4.500	0.0925	1.78			
4.517	0.0952	1.78			
4.533	0.0981	1.78			
4.550	0.1014	1.76			
4.567	0.1047	1.76			
4.583	0.1084	1.80			
4.600	0.1121	1.78			
4.617	0.1161	1.78			
4.633	0.1201	1.76			
4.650	0.1241	1.78			
4.667	0.1281	1.76			
4.683	0.1323	1.78			
4.700	0.1366	1.78			
4.717	0.1405	1.78			
4.733	0.1441	1.76			
4.750	0.1477	1.78			
4.767	0.1512	1.78			
4.783	0.1545	1.78			
4.800	0.1579	1.78			
4.817	0.1609	1.76			
4.833	0.1637	1.78			
4.850	0.1664	1.78			
4.867	0.1687	1.76			
4.883	0.1708	1.78			
4.900	0.1726	1.76			
4.917	0.1745	1.78			
4.933	0.1773	1.76			
4.950	0.1793	1.76			
4.967	0.1800	1.76			
4.983	0.1791	1.78			
5.000	0.1793	1.76			
5.017	0.1795	1.78			
5.033	0.1795	1.78			
5.050	0.1794	1.76			
5.067	0.1790	1.78			
5.083	0.1785	1.78			
5.100	0.1780	1.76			
5.117	0.1772	1.78			
5.133	0.1764	1.76			
5.150	0.1756	1.78			
5.167	0.1747	1.78			
5.183	0.1738	1.76			
5.200	0.1729	1.78			
5.217	0.1721	1.76			
5.233	0.1714	1.78			
5.250	0.1709	1.76			
5.267	0.1706	1.76			
5.283	0.1703	1.78			
5.300	0.1701	1.78			
5.317	0.1702	1.76			
5.333	0.1704	1.78			
5.350	0.1707	1.76			
5.367	0.1711	1.76			
5.383	0.1716	1.76			
5.400	0.1721	1.78			
5.417	0.1727	1.78			
5.433	0.1733	1.76			
5.450	0.1739	1.78			
5.467	0.1744	1.76			
5.483	0.1749	1.78			
5.500	0.1754	1.78			
5.517	0.1758	1.78			
5.533	0.1763	1.78			
5.550	0.1767	1.78			
5.567	0.1769	1.78			
5.583	0.1770	1.78			
5.600	0.1769	1.76			
5.617	0.1767	1.76			
5.633	0.1764	1.76			
5.650	0.1758	1.78			
5.667	0.1750	1.78			
5.683	0.1740	1.78			
5.700	0.1729	1.78			
5.717	0.1716	1.78			
5.733	0.1702	1.78			
5.750	0.1685	1.76			
5.767	0.1668	1.78			
5.783	0.1650	1.78			
5.800	0.1632	1.78			
5.817	0.1613	1.78			
5.833	0.1592	1.78			
5.850	0.1570	1.78			
5.867	0.1547	1.78			
5.883	0.1523	1.76			
5.900	0.1498	1.78			
5.917	0.1473	1.78			
5.933	0.1448	1.76			
5.950	0.1423	1.78			
5.967	0.1397	1.78			
5.983	0.1373	1.78			
6.000	0.1348	1.76			
6.017	0.1323	1.78			
6.033	0.1297	1.76			
6.050	0.1271	1.78			
6.067	0.1246	1.76			
6.083	0.1221	1.78			
6.100	0.1197	1.76			
6.117	0.1175	1.76			
6.133	0.1153	1.76			
6.150	0.1132	1.78			
6.167	0.1110	1.78			
6.183	0.1088	1.76			
6.200	0.1066	1.78			
6.217	0.1043	1.76			
6.233	0.1021	1.78			
6.250	0.1001	1.78			
6.267	0.0981	1.78			
6.283	0.0963	1.76			
6.300	0.0945	1.76			
6.317	0.0929	1.78			
6.333	0.0913	1.78			
6.350	0.0897	1.76			
6.367	0.0882	1.78			
6.383	0.0869	1.76			
6.400	0.0855	1.78			
6.417	0.0841	1.78			
6.433	0.0828	1.78			
6.450	0.0816	1.78			
6.467	0.0803	1.78			
6.483	0.0788	1.76			
6.500	0.0774	1.78			
6.517	0.0760	1.78			
6.533	0.0746	1.76			
6.550	0.0731	1.78			
6.567	0.0717	1.78			
6.583	0.0704	1.78			
6.600	0.0690	1.76			
6.617	0.0678	1.76			
6.633	0.0669	1.78			
6.650	0.0662	1.78			
6.667	0.0670	1.76			
6.683	0.0664	1.78			
6.700	0.0649	1.76			
6.717	0.0641	1.76			
6.733	0.0639	1.76			
6.750	0.0639	1.78			
6.767	0.0638	1.78			
6.783	0.0640	1.78			
6.800	0.0642	1.76			
6.817	0.0646	1.76			
6.833	0.0650	1.78			
6.850	0.0654	1.78			
6.867	0.0659	1.78			
6.883	0.0664	1.78			
6.900	0.0669	1.76			
6.917	0.0675	1.78			
6.933	0.0681	1.78			
6.950	0.0687	1.78			
6.967	0.0691	1.78			
6.983	0.0696	1.78			
7.000	0.0700	1.76			
7.017	0.0704	1.78			
7.033	0.0706	1.78			
7.050	0.0707	1.78			
7.067	0.0710	1.76			
7.083	0.0711	1.78			
7.100	0.0710	1.76			
7.117	0.0709	1.76			
7.133	0.0708	1.78			
7.150	0.0706	1.76			
7.167	0.0703	1.78			
7.183	0.0700	1.78			
7.200	0.0697	1.76			
7.217	0.0693	1.78			
7.233	0.0688	1.78			
7.250	0.0684	1.78			
7.267	0.0678	1.78			
7.283	0.0673	1.76			
7.300	0.0668	1.78			
7.317	0.0662	1.78			
7.333	0.0656	1.78			
7.350	0.0651	1.76			
7.367	0.0645	1.78			
7.383	0.0638	1.78			
7.400	0.0631	1.78			
7.417	0.0625	1.78			
7.433	0.0619	1.78			
7.450	0.0613	1.78			
7.467	0.0607	1.78			
7.483	0.0602	1.76			
7.500	0.0598	1.76			
7.517	0.0595	1.78			
7.533	0.0592	1.76			
7.550	0.0590	1.76			
7.567	0.0590	1.78			
